IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.32.215,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,263,10.94
8.219.114.201,2086,2086,FALSE,SIN,Asia Pacific,Singapore,12,10.94
47.245.8.68,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,194,10.93
8.219.228.30,80,80,FALSE,SIN,Asia Pacific,Singapore,21,10.93
8.219.79.74,2096,2096,TRUE,SIN,Asia Pacific,Singapore,80,10.93
8.222.188.56,8443,8443,TRUE,SIN,Asia Pacific,Singapore,143,10.93
8.219.115.215,2087,2087,TRUE,SIN,Asia Pacific,Singapore,145,10.93
8.219.113.232,8880,8880,FALSE,SIN,Asia Pacific,Singapore,4,10.93
47.245.6.9,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,159,10.93
8.219.167.65,8880,8880,FALSE,SIN,Asia Pacific,Singapore,8,10.93
47.245.26.167,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,171,10.93
8.219.228.30,2052,2052,FALSE,SIN,Asia Pacific,Singapore,18,10.92
47.236.165.25,8080,8080,FALSE,SIN,Asia Pacific,Singapore,17,10.92
8.219.63.193,2096,2096,TRUE,SIN,Asia Pacific,Singapore,51,10.92
47.74.54.33,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,226,10.91
8.219.83.201,2052,2052,FALSE,SIN,Asia Pacific,Singapore,20,10.91
47.236.104.11,2083,2083,TRUE,SIN,Asia Pacific,Singapore,95,10.91
8.219.235.164,443,443,TRUE,SIN,Asia Pacific,Singapore,36,10.91
47.245.56.121,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,166,10.91
47.236.169.141,2052,2052,FALSE,SIN,Asia Pacific,Singapore,23,10.9
47.236.148.174,8443,8443,TRUE,SIN,Asia Pacific,Singapore,118,10.9
8.219.73.21,2096,2096,TRUE,SIN,Asia Pacific,Singapore,182,10.9
47.245.54.58,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,167,10.9
47.245.33.56,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,107,10.9
8.219.196.24,443,443,TRUE,SIN,Asia Pacific,Singapore,83,10.89
47.91.21.127,2086,2086,FALSE,NRT,Asia Pacific,Tokyo,86,10.89
47.245.57.109,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,171,10.89
8.219.103.57,8080,8080,FALSE,SIN,Asia Pacific,Singapore,25,10.89
47.245.11.216,80,80,FALSE,HKG,Asia Pacific,Hong Kong,163,10.89
8.219.170.180,443,443,TRUE,SIN,Asia Pacific,Singapore,35,10.89
47.236.172.71,2053,2053,TRUE,SIN,Asia Pacific,Singapore,77,10.89
47.245.37.89,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,290,10.89
47.236.145.85,2052,2052,FALSE,SIN,Asia Pacific,Singapore,24,10.89
8.219.90.87,2053,2053,TRUE,SIN,Asia Pacific,Singapore,71,10.89
8.219.204.120,2086,2086,FALSE,SIN,Asia Pacific,Singapore,11,10.89
47.245.41.69,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,168,10.88
